period_nm,fill,gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
550.8,0.74,143.208,111.208,0.0,1,305.92835727531053,1.2449206911187149e-09,979.9433457886719,122870621180.0513,0.05665421132812298
550.8,0.74,143.208,111.208,0.01,1,305.8853656491687,0.0044508869117690485,980.0810750254824,34362.293595951145,44.72025358366301
550.8,0.74,143.208,111.208,0.02,1,305.75672815749004,0.017569092604284044,980.4934131999935,8701.551498537106,51.09744625176201
550.8,0.74,143.208,111.208,0.05,2,304.8705405511203,0.0998714430465027,983.3434790323114,1526.3148866746865,61.50703763165497
550.8,0.74,143.208,111.208,0.1,2,301.90965779979973,0.2803511287536137,992.9873068147965,538.449156852036,75.67585980235746
550.8,0.74,143.208,111.208,0.2,1,315.39057304048447,1.2388820358489845,950.5434963064598,127.28837932675033,98.40861612398183
550.8,0.74,143.208,111.208,0.35,1,311.59424168791867,0.0628181324016027,962.1245128793526,2480.129779216175,73.93074305059992
550.8,0.74,143.208,111.208,0.5,1,308.408287988363,5.908152116652833,972.0635588473934,26.10023251763249,83.76999738930998
550.8,0.74,143.208,111.208,0.75,1,306.4299008450917,1.8935301059126248,978.339441331324,80.91497988023846,72.58026936391445
550.8,0.74,143.208,111.208,1.0,1,304.16287615228487,12.135523142840354,985.6313229031383,12.531922710383242,84.65114582571891
